title,url,summary,analyzed_content,tone,emotion,personality_hint
メンテナンス ♯73,https://oatcs.net/oat/archives/3091,昨日は2人の鍼灸師にメンテナンスしてもらいました。先ずはUさんに肩甲上神経に対するアプローチの説明と実際に受けてもらいました。鍼や手技などの技術は先ず自分が受けてみることですよね。Uさんに納得してもらい先ずは感覚的な部分… 続きを読む →,昨日は2人の鍼灸師と共に技術の確認やメンテナンスを行い、臨床での気づきを深める時間を過ごしました。,教育的,感謝,著者は仲間との学びを大切にし、自身の経験を通して成長を促す優しい性格を持っている。
本日の新患さん,https://oatcs.net/oat/archives/3089,同業者の方でした。（整骨院の先生）長年患っている症状を少しでも改善したく来院されました。びっくりするくらい、気の毒になるくらい症状が重かったですね。ですがご本人はその症状に慣れてしまっている様で・・・。しっかり治療を行い… 続きを読む →,同業者の整骨院の先生が長年の症状を改善するために来院し、治療を行った。,共感的,思いやり,著者は他者の痛みを理解し、改善を強く願う優しい性格の持ち主である。
うつ伏せの治療,https://oatcs.net/oat/archives/3087,完全に変えることにしました。今までは腕を下げていましたが、今後は気を付けの姿勢で行います。やはりこれだけ肩甲上神経が良くない患者さんがいらっしゃるとは思ってませんでした。と言うより自分がやってこなかったと言う反省です。も… 続きを読む →,著者は自らの姿勢を改善し、患者への配慮を深めることを決意したことを反省と共に述べている。,誠実,後悔,著者は自分の過去の行動を反省し、常に向上を目指す真摯な性格を持っている。
膝蓋骨の動き,https://oatcs.net/oat/archives/3085,膝蓋骨の動きの悪さについて考えていたのですが、そもそも膝蓋骨はどこの上で動いるかが大事かと思ったのです。先程いらっしゃった患者さん、膝蓋骨が外側から内側に対しては動くのですが、その逆の動きが良くありません。（可動域制限）… 続きを読む →,膝蓋骨の動きの改善に対するアプローチとして、股関節や下腿の変位に基づく治療が有効であったことを述べている。,専門的,安堵,著者は実践的で問題解決志向のある人物である。
膝裏とベットの距離について,https://oatcs.net/oat/archives/3083,とてもこだわっています。もうかれこれ10年以上色々研究してきました。ここ最近、脂肪体や大腿部後側筋腱などからの影響がわかりより臨床で活用できています。改めて膝裏とベットの距離が改善することで上半身に与える影響、肩甲上神経… 続きを読む →,著者は10年以上の研究を通じて、膝裏と上半身、肩甲上神経の関係を理解し、治療のシンプル化を目指している。,研究者,喜び,著者は熱心で探求心が強く、臨床における実践を大切にしている。
最近、いろいろ,https://oatcs.net/oat/archives/3079,頭に浮かぶんです。本当いろいろ、鍼、脂肪体、関節包、滑膜、筋膜。これらの組織に対しての治療法を確立できたらどれだけ患者さんに貢献のお役に立てるか、何より自分自身がもっと心が落ち着けるのかもしれません。春だからでしょうか、… 続きを読む →,著者は治療法の確立に向けた思索をし、春の閃きが治療に役立つ可能性を感じている。,思索的,希望,著者は探求心が強く、患者への思いやりを大切にしている人物のようだ。
NSP鍼療法の研究,https://oatcs.net/oat/archives/3077,ここ数年全く研究していなかったNSP鍼療法　ここ最近の研究課題の一つに関節脂肪体がありますが、その組織に対しての鍼の打ち方がまさにNSP鍼療法の考え方にピッタリだなと思いました。その応用で脂肪体だけではなく、改めてNSP… 続きを読む →,NSP鍼療法の研究を通じて、特に大腿二頭筋へのアプローチが効果的であることを再認識し、鍼灸師としての自覚を深める決意を示している。,誠実,後悔,著者は自己反省をしつつ、鍼灸師としての成長を重視する真摯な態度を持っている。
仙骨のねじれ,https://oatcs.net/oat/archives/3075,以前、転倒して仙骨骨折をされた患者さんです。主訴は腰痛でしたが、当然仕上げとして仙骨の変位に注目します。数回は脚長差からの腸骨の変位を矯正していました。最近では脚長差が改善されたのですが、歩行時に片方の足が流れてしまう感… 続きを読む →,仙骨骨折の患者さんの腰痛改善を目指し、自らの方法で仙骨の変位を修正した結果、歩行時の足の流れが改善されたという体験を共有している記事です。,研究的,希望,著者は患者の回復に真剣に取り組む熱心な治療者であり、自己改善を追求する姿勢が見受けられます。
メンテナンス ♯72,https://oatcs.net/oat/archives/3072,昨日は2人の柔整師にメンテナンスしてもらう日でした。おめでたいことにYさんの整骨院開業10周年と言うことで先ずは私から新しい手技の発見をプレゼントしようと思いました。内容は最近研究している膝関節周辺の脂肪体に対しての治療… 続きを読む →,昨日はYさんの整骨院の10周年を祝うために、2人の柔整師に新しい治療手技を提供し、楽しい交流を持ったことを振り返った記事です。,楽しい,喜び,著者は積極的で創造的な性格を持ち、人との交流を大切にする人です。
所謂「肩がバキバキなんです」の正体は❓,https://oatcs.net/oat/archives/3070,おそらくですけど肩甲上神経が関係しているのではないでしょうか。今までは「木を見て森を見ず」にならないようにその痛みのもとである部分にこだわっていましたが、最近はその中間地点にもかなり重要なのではないかと思うようになってい… 続きを読む →,著者は肩甲上神経の重要性に気づき、自己反省を通じて柔軟さを大切にしたいと考えている。,内省的,反省,著者は自己改善を意識しつつ、頑固さを自覚している思慮深い性格の持ち主である。
